Team,Points,Submissions,Last Submission
Jason Burnett,2600,8,2025-06-22T00:00:00.000Z
Matthew Maynard,2200,6,2025-06-23T00:00:00.000Z
Lisa Morales,4300,20,2025-06-01T00:00:00.000Z
Sean Kelley,2200,11,2025-06-14T00:00:00.000Z
Angela Martin,6800,18,2025-06-13T00:00:00.000Z
Michael Sosa,5100,19,2025-06-22T00:00:00.000Z
David Reed,2400,20,2025-06-12T00:00:00.000Z
Chelsea Herrera,4700,29,2025-06-24T00:00:00.000Z
Stacey Smith,3800,13,2025-06-05T00:00:00.000Z
Timothy Phillips,3400,20,2025-06-05T00:00:00.000Z
Natalie Carroll,4200,11,2025-06-10T00:00:00.000Z
Russell Baker,3100,20,2025-06-03T00:00:00.000Z
Michelle Garcia,3400,11,2025-06-12T00:00:00.000Z
Stephen Christian,4200,27,2025-06-27T00:00:00.000Z
Mary Miller,6100,23,2025-06-08T00:00:00.000Z
Jason Griffin,3400,24,2025-06-30T00:00:00.000Z
Ronald Powell,2300,8,2025-06-04T00:00:00.000Z
Donna Day,100,1,2025-07-08T00:00:00.000Z
Gregory Esparza,5900,30,2025-06-24T00:00:00.000Z
Daniel Becker,2600,6,2025-06-07T00:00:00.000Z
Lisa Patterson,3800,15,2025-06-24T00:00:00.000Z
Erica Pacheco,5900,25,2025-06-22T00:00:00.000Z
Tiffany Winters,3300,10,2025-07-04T00:00:00.000Z
Jose Paul,2700,8,2025-06-21T00:00:00.000Z
Theresa Callahan,5100,45,2025-06-11T00:00:00.000Z
Matthew Bates,3700,19,2025-06-01T00:00:00.000Z
William Kirk,3900,10,2025-07-04T00:00:00.000Z
Robert Luna,700,3,2025-06-29T00:00:00.000Z
Jordan Alexander,4800,22,2025-06-30T00:00:00.000Z
Michael Diaz,3600,15,2025-07-06T00:00:00.000Z
Mason Sanders,900,4,2025-07-01T00:00:00.000Z
Samantha Santos,3700,18,2025-06-12T00:00:00.000Z
Kimberly Guzman,100,1,2025-06-27T00:00:00.000Z
Nicole Smith,6500,25,2025-06-27T00:00:00.000Z
William Neal,1300,4,2025-06-02T00:00:00.000Z
Christopher Robinson,5400,14,2025-06-03T00:00:00.000Z
Benjamin Arnold,1800,4,2025-06-22T00:00:00.000Z
Matthew Cowan,3800,12,2025-06-11T00:00:00.000Z
Sandra Howard,1600,11,2025-06-30T00:00:00.000Z
Jared Mcdonald,4500,11,2025-06-21T00:00:00.000Z
Emily Lawrence,2600,13,2025-06-07T00:00:00.000Z
Patricia Rivera,3700,10,2025-06-13T00:00:00.000Z
Shawn Fitzgerald,3000,8,2025-07-05T00:00:00.000Z
John Knight,1000,2,2025-06-21T00:00:00.000Z
David Richmond,3800,37,2025-06-07T00:00:00.000Z
Kimberly Rowe,2200,11,2025-07-04T00:00:00.000Z
Cheryl Black,4600,23,2025-06-11T00:00:00.000Z
Samantha Miller,2600,9,2025-06-28T00:00:00.000Z
Kara Sparks,2900,8,2025-07-06T00:00:00.000Z
Jay Sanders MD,5500,14,2025-06-08T00:00:00.000Z
Samantha Gonzalez,6600,33,2025-06-16T00:00:00.000Z
Lisa Love,4200,10,2025-06-18T00:00:00.000Z
Alicia Stanley,2600,13,2025-07-03T00:00:00.000Z
Joshua Craig,2400,7,2025-06-14T00:00:00.000Z
Shannon Jennings,1800,8,2025-06-14T00:00:00.000Z
Thomas Jackson,2100,20,2025-06-18T00:00:00.000Z
John Oconnor,2600,12,2025-06-21T00:00:00.000Z
Sandra Gutierrez,5900,33,2025-06-27T00:00:00.000Z
Courtney Hawkins,2700,15,2025-06-26T00:00:00.000Z
Albert Harris,1200,4,2025-06-22T00:00:00.000Z
Jeremy Price,3100,9,2025-07-08T00:00:00.000Z
Dustin Romero,3300,14,2025-06-12T00:00:00.000Z
Maria Evans,3100,8,2025-06-04T00:00:00.000Z
Joy Riley,4200,11,2025-06-26T00:00:00.000Z
Teresa Johnson,3100,8,2025-06-21T00:00:00.000Z
Dawn Moore,4200,15,2025-06-08T00:00:00.000Z
Anna Snyder,1800,6,2025-06-08T00:00:00.000Z
Lawrence Owens,5700,15,2025-06-27T00:00:00.000Z
Michelle Bowers,3400,12,2025-06-23T00:00:00.000Z
Jennifer Shea,3600,20,2025-06-25T00:00:00.000Z
Amanda Crane,1800,5,2025-06-07T00:00:00.000Z
Michael Parker,3700,19,2025-06-08T00:00:00.000Z
Sydney Gonzalez DVM,4000,15,2025-07-01T00:00:00.000Z
Kathy Duncan,1200,5,2025-07-07T00:00:00.000Z
Jasmine Dunn,500,3,2025-06-18T00:00:00.000Z
Alyssa Griffith,3400,9,2025-06-08T00:00:00.000Z
Theresa Chang,2300,10,2025-07-06T00:00:00.000Z
Aaron Jones,3400,13,2025-06-11T00:00:00.000Z
Nicholas Ibarra,1100,6,2025-06-17T00:00:00.000Z
Tonya Brock,700,3,2025-07-03T00:00:00.000Z
Abigail Peterson,3300,9,2025-06-23T00:00:00.000Z
Stacey Moran,2500,14,2025-06-23T00:00:00.000Z
Corey Stephens,100,1,2025-07-08T00:00:00.000Z
Jessica Cohen,5000,18,2025-07-04T00:00:00.000Z
Stephanie Lambert,1000,5,2025-06-22T00:00:00.000Z
Elizabeth Hernandez,6900,63,2025-06-28T00:00:00.000Z
Michael Lee,2100,12,2025-06-22T00:00:00.000Z
Molly Cordova,3600,9,2025-06-26T00:00:00.000Z
Jonathan Khan,5500,41,2025-06-15T00:00:00.000Z
Jason Collins,5200,25,2025-06-25T00:00:00.000Z
Kristi Rodriguez,6000,29,2025-07-06T00:00:00.000Z
Kimberly Tran,700,3,2025-07-02T00:00:00.000Z
James Cooper,1300,3,2025-06-10T00:00:00.000Z
Michael Carter,3300,12,2025-07-01T00:00:00.000Z
Alexandra Ward,4300,33,2025-07-06T00:00:00.000Z
Clinton Vega,3000,8,2025-06-03T00:00:00.000Z
Jamie Griffin,500,1,2025-07-03T00:00:00.000Z
Kathleen Lloyd,3700,12,2025-06-25T00:00:00.000Z
Alyssa Gonzalez,2700,18,2025-06-06T00:00:00.000Z
